title,type,genre,releaseyear,rating,watchhours
Stranger Nights,TV Show,Sci-Fi,2019,4.6,3200
Love in Paris,Movie,Romance,2020,3.9,1500
Action Force,Movie,Action,2018,4.2,2100
Comedy Central,TV Show,Comedy,2021,4.1,1800
Mystery Lake,TV Show,Drama,2017,4.5,2500
Fast Drive,Movie,Action,2022,4.7,3000
The Last Summer,Movie,Romance,2019,3.8,1200
Laugh Out Loud,TV Show,Comedy,2020,4.0,1600
Galaxy Wars,Movie,Sci-Fi,2021,4.4,2800
Family Ties,TV Show,Drama,2018,4.3,2000
Hidden Truth,TV Show,Mystery,2022,4.6,3100
City Lights,Movie,Drama,2017,4.1,1700
Future World,Movie,Sci-Fi,2023,4.8,3500
Romantic Escape,Movie,Romance,2021,3.7,1100
Action Reloaded,TV Show,Action,2020,4.2,2200
Crime Files,TV Show,Mystery,2019,4.4,2600
The Comedy Hour,TV Show,Comedy,2022,4.3,2300
Sky Adventures,Movie,Action,2023,4.6,3400
Love Again,Movie,Romance,2018,3.9,1400
Deep Space,TV Show,Sci-Fi,2021,4.5,2900
